name;v_nom;x;y;wkt_srid_4326;;;;
ES2;380;-5.006450304;37.65863915;"SRID=4326;POINT(-5.006450304 37.65863915)";;"SRID=4326;POINT(-5.006450304 37.65863915)";"SRID=4326;POINT(";-5.006450304 37.65863915)
ES3;380;2.7388916;39.6729018;"SRID=4326;POINT(2.7388916 39.6729018)";;"SRID=4326;POINT(2.7388916 39.6729018)";"SRID=4326;POINT(";2.7388916 39.6729018)
FI0;380;25.0536855;62.85767991;"SRID=4326;POINT(25.0536855 62.85767991)";;"SRID=4326;POINT(25.0536855 62.85767991)";"SRID=4326;POINT(";25.0536855 62.85767991)
FR0;380;6.367222099;48.3358955;"SRID=4326;POINT(6.367222099 48.3358955)";;"SRID=4326;POINT(6.367222099 48.3358955)";"SRID=4326;POINT(";6.367222099 48.3358955)
FR1;380;2.712987249;45.50734612;"SRID=4326;POINT(2.712987249 45.50734612)";;"SRID=4326;POINT(2.712987249 45.50734612)";"SRID=4326;POINT(";2.712987249 45.50734612)
FR2;380;2.634126426;49.3190993;"SRID=4326;POINT(2.634126426 49.3190993)";;"SRID=4326;POINT(2.634126426 49.3190993)";"SRID=4326;POINT(";2.634126426 49.3190993)
FR3;380;4.953855344;43.73260228;"SRID=4326;POINT(4.953855344 43.73260228)";;"SRID=4326;POINT(4.953855344 43.73260228)";"SRID=4326;POINT(";4.953855344 43.73260228)
FR4;380;-1.168513645;47.68305456;"SRID=4326;POINT(-1.168513645 47.68305456)";;"SRID=4326;POINT(-1.168513645 47.68305456)";"SRID=4326;POINT(";-1.168513645 47.68305456)
FR5;380;5.622022276;45.48300195;"SRID=4326;POINT(5.622022276 45.48300195)";;"SRID=4326;POINT(5.622022276 45.48300195)";"SRID=4326;POINT(";5.622022276 45.48300195)
FR6;380;0.272837346;44.15008722;"SRID=4326;POINT(0.272837346 44.15008722)";;"SRID=4326;POINT(0.272837346 44.15008722)";"SRID=4326;POINT(";0.272837346 44.15008722)
GB0;380;-0.175885958;51.54171516;"SRID=4326;POINT(-0.175885958 51.54171516)";;"SRID=4326;POINT(-0.175885958 51.54171516)";"SRID=4326;POINT(";-0.175885958 51.54171516)
GB1;380;-2.249654704;53.18423833;"SRID=4326;POINT(-2.249654704 53.18423833)";;"SRID=4326;POINT(-2.249654704 53.18423833)";"SRID=4326;POINT(";-2.249654704 53.18423833)
GB2;380;-3.725189656;56.10163456;"SRID=4326;POINT(-3.725189656 56.10163456)";;"SRID=4326;POINT(-3.725189656 56.10163456)";"SRID=4326;POINT(";-3.725189656 56.10163456)
GB3;380;-0.962768593;53.82072819;"SRID=4326;POINT(-0.962768593 53.82072819)";;"SRID=4326;POINT(-0.962768593 53.82072819)";"SRID=4326;POINT(";-0.962768593 53.82072819)
GB4;380;-3.287456199;51.35955931;"SRID=4326;POINT(-3.287456199 51.35955931)";;"SRID=4326;POINT(-3.287456199 51.35955931)";"SRID=4326;POINT(";-3.287456199 51.35955931)
