,AT1 0,BE1 0,CH1 0,CZ1 0,DE1 0,DE1 1,DE1 2,DE1 3,DE1 4,DE1 5,DE1 6,DK1 0,DK2 0,EE6 0,ES1 0,ES1 1,ES1 2,ES4 0,FI2 0,FR1 0,FR1 1,FR1 2,FR1 3,FR1 4,FR1 5,FR1 6,GB0 0,GB0 1,GB0 2,GB0 3,GB0 4,GB5 0,HU1 0,IE5 0,IT1 0,IT1 1,IT1 2,IT1 3,IT3 0,LT6 0,LU1 0,LV6 0,NL1 0,NO2 0,PL1 0,PT1 0,SE2 0,SE2 1,SI1 0,SK1 0
69,9829.490755318848,12611.999999999998,8463.057030040674,9326.666666666666,11875.124920431634,8114.4623821856,14249.39127775296,13906.971538979067,9446.190373767502,12804.287075449925,6248.671636956385,3133.60143657895,2393.19856342105,1275.6333333333334,15311.724846762596,14007.42257122922,7168.209031588878,788.6435504193045,12886.040312158104,7778.712385580766,7993.667757236891,22153.229621250433,5993.072042667747,11962.912211958514,8585.469317359391,8074.3578597667365,25438.014577946935,13789.132961751762,5981.337192900192,6770.417030647626,5834.313415852051,1421.6756255709217,5957.079999999999,4606.962528663851,15780.87314943196,10590.911887263814,12752.653160490418,7316.674070311053,2508.6160238489015,1776.0,1096.059543936297,1093.0000000000002,17483.0,21206.576354508565,23823.129266666667,8084.0,3037.1049054098603,19677.228427923474,2740.5092446811545,4038.7899999999995
70,8421.636366436805,11665.666666666664,7799.134522836441,8666.999999999998,10966.149498430686,7493.344969309586,13158.678840053288,12842.469446740093,8723.093698122788,11824.189406935855,5770.37023160651,2699.4625822711223,2061.637417728878,1134.2,15959.777156557348,14600.2716879945,7471.595780404114,822.0220417107033,12322.8262624318,7346.447781178814,7549.494469161934,20922.271174992515,5660.063141659586,11298.185303922199,8107.0070928256755,7625.70097426889,24696.556763713594,13387.212428422994,5806.995394814851,6573.075426112807,5664.257012290579,1380.2371517209037,5617.333333333333,4530.952489590942,14316.929417972156,9594.51291015232,11553.08980892195,6628.317237857072,2289.063607722582,1550.0,1029.359231995725,956.3333333333335,15766.666666666666,20530.520404234867,22510.20406666666,8223.0,2889.5350252781955,18721.131641388474,2522.3636335631963,3800.0566666666673
71,7084.034813034414,10772.999999999998,7238.079687574657,7330.999999999999,9198.696084915555,6285.615843735658,11037.84765527601,10772.602857300213,7319.399257693308,9918.442642100217,4840.339087624884,2086.3272067343783,1593.3727932656218,916.3000000000001,13032.382611150255,11922.242083844549,6101.131235787648,671.2440692175466,11503.568796091024,6918.454480938839,7110.292322371698,19705.089487752437,5330.781241667529,10640.897950366807,7634.756104367233,7182.0654100122165,18901.47283000099,10245.883035690022,4444.375251545357,5030.693459209835,4335.1306436879195,1056.3624424171637,4860.96,3686.6990041153854,10894.071904526812,7236.78685695631,8716.256393224327,4999.494973830775,1802.2574896754115,1197.6666666666667,908.5851680891102,717.0000000000001,12938.666666666666,18701.74120390898,18340.476166666664,6630.0,2495.0496706888366,16165.283662644497,2066.6318536322538,3284.09
72,6448.961614428538,9469.666666666666,7209.827021976304,6891.666666666665,8107.531783543772,5540.005861896129,9728.5202012287,9494.73917290069,6453.806495735094,8741.900832657151,4266.170186924733,1836.0987259962458,1402.2679406704208,852.5666666666666,10437.298007824687,9548.215185460358,4886.23813409841,537.582005949876,10913.137108643878,6182.5311831659565,6354.352275768841,17610.117074478097,4764.032247737046,9509.59693941014,6828.652489002895,6418.4947135350785,15971.976685922402,8657.897003295077,3755.5516725925554,4250.997759126351,3663.2386372299225,892.6392379006002,4194.42,3037.3523372664254,8979.801785522764,5942.077133880943,7158.903655533465,4105.051779491964,1507.4152828950664,1122.3333333333333,781.0215493818326,647.6666666666667,11513.333333333334,17585.082891356127,16445.57823333333,5245.666666666667,2358.8004639348346,15282.5328693985,1829.7050522381296,3037.7333333333336
73,7729.3661690333365,9874.999999999998,7342.818456251332,7636.333333333333,9028.504748645026,6169.3213874504,10833.62892420145,10573.291600740476,7184.7563346206525,9734.934784964928,4750.784680160957,2103.204399581746,1606.2622670849205,1031.4333333333334,10671.160958411934,9762.156933069718,4995.721456933065,549.6273182519485,12105.75859313467,6516.223546996669,6697.832738551093,18562.020730411226,5021.548974878886,10023.632141719734,7195.819312014501,6765.442354914266,15414.433850784742,8355.670889616762,3624.4545035809847,4102.605773000041,3535.363891620811,861.4793745198281,4724.533333333334,2835.028383543498,9916.40009222108,6576.776165689465,7922.549104827284,4543.53016529267,1650.5054657533776,1439.0,790.0082230278604,832.3333333333335,12173.333333333334,18507.264740198665,17993.877566666662,5221.666666666667,2595.1529478787247,16813.847052121277,2134.967164299998,3366.9666666666667
74,9939.84366060768,12006.999999999998,8667.869793258013,9286.666666666666,11289.330668097356,7714.179820434303,13546.475597648561,13220.94726138231,8982.187214156298,12172.657696871227,5940.427643383286,2936.159069640032,2242.4075970266344,1306.2666666666667,14532.911929350268,13294.951458581656,6803.606490439277,748.5301216287957,12849.55265759988,7766.320205928668,7982.128903743888,22121.251450683485,5984.421047608471,11945.643757031992,8574.760902717875,8062.702530170435,21800.666133058025,11817.442868521137,5126.073608146496,5802.323951597937,5000.072568748302,1218.3920866783117,5779.866666666666,3700.5754499164614,14894.817891442408,9975.801878862168,12013.114949976312,6891.728655150594,2387.121570003744,1842.6666666666667,996.6554281152736,1122.3333333333337,16325.333333333334,21408.43734240012,22543.87753333333,6990.0,3139.2138137099646,20338.786186290035,2767.156339392321,4033.1133333333332
75,9979.011170653857,12027.999999999998,8705.259516973985,9423.666666666664,11351.536247475568,7756.685885609087,13621.118318980647,13293.796282152618,9031.62731948167,12239.730515169156,5973.160119220428,3017.1242366704064,2304.24242999626,1292.9666666666665,15393.604263888576,14082.327234619383,7206.541014642229,792.8608201831447,12778.098032000877,7713.455549141622,7927.918063748464,21971.014385189705,5943.777693462062,11864.51460086777,8517.18459548286,8007.944472255741,23569.78526382909,12776.42568711459,5542.053323195712,6273.1812292174245,5405.827327920672,1317.2643292128714,5914.993333333333,4198.196172842981,15623.7609506627,10484.823018925457,12625.43782136825,7243.383150663864,2484.2530029717277,1820.3333333333333,982.2388901966169,1104.3333333333333,17157.666666666668,21081.19863466579,23105.10203333333,7780.666666666667,3058.632012659511,19816.701320673823,2800.6554960128105,4065.6566666666663
76,9634.585764850965,12033.33333333333,8387.149439547647,9525.33333333333,11052.731644991267,7552.507931884061,13262.571884739222,12943.86589149917,8793.610270602354,11917.546122557678,5815.929617895495,2909.6620658639854,2222.171267469348,1311.6333333333332,14844.135867690324,13579.664334644933,6949.306486225677,764.5599781057341,12876.79877482473,7288.073955316369,7491.07448764076,20760.369116461738,5616.26407862363,11210.756962942012,8049.053281156273,7566.691286690136,23019.620921815094,12478.19921823669,5412.691087357205,6126.753054981855,5279.64487009952,1286.5168338569395,5949.38,4222.980680319365,15117.496815114784,10153.497064972471,12226.397888526064,7014.488411295469,2395.7884307887944,1808.3333333333333,904.3252167546071,1118.0,16958.666666666668,20793.11122517527,23190.476199999994,7610.666666666667,3085.4183303759505,19990.24833629072,2662.4142351490373,4045.6133333333332
77,10002.6360179833,12454.666666666664,8548.509975998762,9459.666666666664,11473.169673546168,7839.799946882505,13767.070659873634,13436.241317963737,9127.610239377844,12370.881077021259,6037.163432422255,3059.7046571464653,2336.7620095202014,1298.2,14721.042897796919,13467.056822290824,6891.680311033432,758.2199688788236,13140.770478745575,7586.67173890979,7797.216962233393,21608.796239333893,5845.787491564228,11668.914051668617,8376.63707578704,7875.924040790726,24903.103123228877,13499.174594550184,5855.561426508927,6628.048466001418,5711.629270554797,1391.7805811019,6052.610000000001,4585.32920472057,15818.6464604193,10626.348210505465,12795.414691692962,7341.155062143411,2505.0771225880894,1821.3333333333333,999.6135292769198,1102.3333333333333,17402.0,21083.086187921093,23763.60546666666,7706.0,3128.026849072982,20266.306484260353,2749.0306486833706,4059.84
78,8584.52347170821,11619.33333333333,7969.92161298915,8782.666666666666,10714.589458382698,7321.4499791088165,12856.822862578592,12547.867213859781,8524.07841589107,11552.946199721742,5637.999743062433,2645.4291059546326,2020.3708940453673,1157.5,15554.213889789535,14229.255612807778,7281.730673708418,801.133157027601,12596.278957926566,7321.338649536039,7524.892762657986,20854.091301896944,5641.618567287922,11261.367654739239,8082.03555383534,7600.850931922061,24925.262897463934,13511.186698419113,5860.771938571976,6633.946367837137,5716.711706045808,1393.019042963835,5683.366666666666,4565.474682031541,14541.027368103052,9751.371831665048,11742.038983052977,6736.682373545652,2318.573287206714,1583.0,932.0420489567456,968.0,15640.333333333334,20220.857708740103,22536.734699999997,8043.0,2914.092863983283,18880.240469350047,2539.4765282917924,3819.4633333333336
