t	AT	Balt	BE	DE	DK	Es	Fr	Nl	No	Se	Uk
t1692	0	0	0	0	0	0	0.00483007	0.101031885	0.2558364	0.3888298	0.48848826
t1693	0.53748506	0.53101784	0.46865392	0.3602758	0.21789323	0.07055328	0.000736307	0	0	0	0
t1694	0	0	0	0	0	0	0	0	0.005938459	0.10488414	0.26016486
t1695	0.38846514	0.4845126	0.5287543	0.52021146	0.46094847	0.35220322	0.21224543	0.071402304	0.001014903	0	0
t1696	0	0	0	0	0	0	0	0	0	0	0.005460595
t1697	0.0704675	0.16723785	0.25798282	0.3216983	0.3668788	0.36825606	0.32995993	0.24691562	0.14683728	0.044458684	0.000842692
t1698	0	0	0	0	0	0	0	0	0	0	0
t1699	0	0.004158999	0.057901133	0.12683935	0.18994768	0.19817056	0.22368397	0.18027173	0.13719247	0.0718987	0.046989102
t1700	0.011416092	0.000307839	0	0	0	0	0	0	0	0	0
t1701	0	0	0	0.002504818	0.026816439	0.06247228	0.10496268	0.13074176	0.14855415	0.16219425	0.122350976
t1702	0.09558898	0.06042065	0.020970825	0.000553361	0	0	0	0	0	6.23E-17	6.24E-17
t1703	6.25E-17	6.25E-17	6.25E-17	6.25E-17	6.25E-17	0.004930525	0.042018764	0.08526668	0.08524035	0.08653584	0.10208854
t1704	0.14024198	0.1504036	0.14176583	0.089953005	0.029047672	0.001061474	6.30E-17	6.31E-17	6.32E-17	6.33E-17	6.33E-17
t1705	6.33E-17	6.34E-17	6.35E-17	6.35E-17	6.36E-17	6.37E-17	6.37E-17	0.009026352	0.085377395	0.19692679	0.27412966
t1706	0.294067	0.33321077	0.3072537	0.2623687	0.1831566	0.1042817	0.042782657	0.002235398	6.31E-17	6.33E-17	6.35E-17
t1707	6.35E-17	6.36E-17	6.37E-17	6.38E-17	6.38E-17	6.39E-17	6.39E-17	6.39E-17	6.38E-17	0.009222007	0.05962471
t1708	0.13200314	0.24481612	0.2631679	0.23433347	0.17703667	0.1009992	0.050644558	0.030803822	0.014227397	0.001176474	6.23E-17
t1709	6.23E-17	6.23E-17	6.23E-17	6.23E-17	6.23E-17	6.23E-17	6.23E-17	6.24E-17	6.24E-17	6.24E-17	6.24E-17
t1710	0.009945899	0.07147736	0.15673065	0.21933058	0.2701203	0.3325527	0.29296002	0.24250023	0.16175851	0.1057031	0.042791944
t1711	0.003041463	6.17E-17	6.18E-17	6.19E-17	6.20E-17	6.20E-17	6.21E-17	6.21E-17	6.22E-17	6.23E-17	6.24E-17
t1712	6.25E-17	6.25E-17	0.010487566	0.032509137	0.045474235	0.087023936	0.12821579	0.18804426	0.22389266	0.26092657	0.20328753
t1713	0.15468322	0.07079132	0.005231895	6.31E-17	6.33E-17	6.35E-17	6.36E-17	6.36E-17	6.37E-17	6.38E-17	6.39E-17
