t	AT	Balt	BE	DE	DK	Es	Fr	Nl	No	Se	Uk
t5283	2.69E-01	2.72E-01	2.60E-01	2.42E-01	2.22E-01	2.14E-01	1.98E-01	1.86E-01	0.16682677	0.13967921	0.12154216
t5284	0.11553537	0.08891743	0.09494961	0.112441316	0.13042408	0.13062173	0.12702249	0.12071761	0.11896656	0.13391316	1.47E-01
t5285	1.54E-01	1.62E-01	1.79E-01	1.77E-01	1.76E-01	1.65E-01	1.59E-01	1.50E-01	1.43E-01	1.42E-01	0.14136179
t5286	0.12775299	0.11607054	0.124572575	0.12032377	0.13135251	0.13974476	0.14887626	0.160163	0.158416	0.14699474	0.13329579
t5287	0.12631811	1.17E-01	1.10E-01	9.84E-02	8.64E-02	8.17E-02	7.78E-02	7.73E-02	8.29E-02	8.86E-02	8.92E-02
t5288	9.47E-02	0.09691268	0.09437539	0.07500803	0.09225573	0.16061659	0.17627269	0.17789964	0.17598616	0.17780147	0.1879838
t5289	0.17381161	0.17740823	0.20976205	2.34E-01	2.55E-01	2.82E-01	3.03E-01	3.04E-01	2.77E-01	2.70E-01	2.75E-01
t5290	2.71E-01	2.66E-01	2.71E-01	0.2619853	0.2594199	0.2693503	0.2699988	0.30151093	0.33404374	0.36187652	0.39126417
t5291	0.41108504	0.4411608	0.41147834	0.33270934	0.2857901	2.59E-01	2.54E-01	2.66E-01	3.47E-01	3.32E-01	3.39E-01
t5292	3.53E-01	3.75E-01	4.17E-01	4.60E-01	4.95E-01	0.52882	0.574162	0.5916426	0.6458183	0.7568666	0.74542445
t5293	0.7399792	0.7402254	0.75211406	0.76591027	0.77329516	0.7845878	0.7930624	7.97E-01	8.06E-01	8.13E-01	8.25E-01
t5294	8.23E-01	8.26E-01	8.34E-01	8.37E-01	8.34E-01	8.22E-01	8.00E-01	0.77184796	0.75565284	0.7132932	0.72193813
t5295	0.73345166	0.71259624	0.7206611	0.70933175	0.6673577	0.62955314	0.51645476	0.42147756	0.34459874	2.92E-01	2.83E-01
t5296	2.83E-01	3.26E-01	3.43E-01	3.43E-01	3.68E-01	4.06E-01	4.37E-01	4.85E-01	5.35E-01	0.59754896	0.66346425
t5297	0.71352595	0.756382	0.7985353	0.80467063	0.79531014	0.7844941	0.7884053	0.8226295	0.8475938	0.847138	0.8233407
t5298	7.98E-01	7.81E-01	7.62E-01	7.56E-01	7.87E-01	7.94E-01	7.77E-01	7.74E-01	7.50E-01	7.08E-01	6.50E-01
t5299	0.58537376	0.5158321	0.50561184	0.4898553	0.36138532	0.37663972	0.3935061	0.41421497	0.46316564	0.47989514	0.35608548
t5300	0.25002593	0.19240077	1.64E-01	1.66E-01	1.90E-01	2.64E-01	2.84E-01	3.08E-01	3.40E-01	3.76E-01	4.52E-01
t5301	5.37E-01	5.94E-01	0.6334226	0.6568152	0.6626928	0.68280476	0.70195335	0.7130926	0.7129027	0.6986793	0.69987035
t5302	0.6929552	0.67460984	0.6737029	0.67520374	6.81E-01	6.84E-01	6.95E-01	6.87E-01	6.90E-01	1.15E-01	1.12E-01
t5303	1.11E-01	1.18E-01	1.22E-01	1.24E-01	0.12303321	0.11589711	0.10698215	0.10805039	0.1324418	0.12325266	0.11373168
t5304	0.10078933	0.08980306	0.080945484	0.07008796	0.06286344	0.055821538	5.07E-02	4.85E-02	4.71E-02	5.59E-02	4.93E-02
t5305	5.12E-02	5.86E-02	6.91E-02	7.97E-02	9.37E-02	1.12E-01	0.12704621	0.13227792	0.11591823	0.12074187	0.15962867
t5306	0.18473896	0.21942337	0.24844727	0.2608432	0.24068308	0.22029337	0.22805358	0.24028568	2.54E-01	2.70E-01	2.77E-01
t5307	2.42E-01	2.46E-01	2.32E-01	2.18E-01	2.01E-01	1.99E-01	1.98E-01	2.00E-01	0.20633945	0.20331167	0.18973407
t5308	0.1864055	0.22820178	0.26588333	0.3111154	0.3300424	0.32468718	0.31844014	0.31148964	0.3393489	0.37202892	3.97E-01
t5309	4.21E-01	4.45E-01	5.14E-01	5.00E-01	0.4959088	0.47649223	0.4602964	0.437446	0.4320051	0.45419818	0.53851616
t5310	0.6284425	0.6939848	0.7230857	0.7413965	0.760535	0.7642205	0.7700567	0.7656934	0.771166	0.76027006	0.7317004
t5311	0.6862487	0.6665681	0.65735114	0.6314487	0.5969676	0.55866665	0.5194582	0.4775243	0.44049385	0.4213262	0.40750206
