t	AT	Balt	BE	DE	DK	Es	Fr	Nl	No	Se	Uk
t2699	0.3017555	0.25524157	0.20653117	0.16060308	0.094954014	0.032236222	0.002872912	0	0	0	0
t2700	0	0	0.000160292	0.011310301	0.056229346	0.12815022	0.20917384	0.2927208	0.36749947	0.40851608	0.43920487
t2701	0.4351285	0.4018503	0.33135873	0.29284558	0.23111401	0.15002005	0.094328925	0.039796315	0.003166897	0	0
t2702	0	0	0	0	0.000285032	0.007773431	0.033109438	0.059040535	0.107167155	0.15141998	0.19609714
t2703	0.23760808	0.2689582	0.26494038	0.25951135	0.24972239	0.24847314	0.21669427	0.16511244	0.091559514	0.039058518	0.003408644
t2704	0	0	0	0	0	0	0.000311647	0.014909786	0.07737586	0.1766857	0.2749608
t2705	0.3707129	0.42439955	0.4756585	0.51283944	0.52279854	0.4877147	0.4772071	0.36506885	0.31133837	0.20904791	0.1220887
t2706	0.04819988	0.00412738	0	0	0	0	0	0	0.000347796	0.016244115	0.07701349
t2707	0.16809066	0.27660307	0.4031232	0.5272508	0.5867274	0.6449938	0.66183794	0.62654114	0.56365395	0.4524053	0.3504886
t2708	0.23822168	0.13682449	0.05071404	0.004652599	0	0	0	0	0	0	0.000359508
t2709	0.01709362	0.080740735	0.17169902	0.29236346	0.40551755	0.51088536	0.5752372	0.62412953	0.6371313	0.61009866	0.54595417
t2710	0.43386725	0.32631734	0.21311349	0.11768369	0.044359945	0.004102124	0	0	0	0	0
t2711	0	0.000335546	0.014023332	0.06762304	0.1487406	0.25988024	0.36673358	0.4418783	0.4856896	0.4843682	0.46879613
t2712	0.41253534	0.35033327	0.30650857	0.2530864	0.17998971	0.10935073	0.041880634	0.004583024	0	0	0
t2713	0	0	0	0.000331238	0.014766387	0.07060872	0.15031496	0.2416171	0.34330416	0.41751263	0.45810777
t2714	0.4683848	0.43373773	0.4028945	0.3341142	0.25432122	0.19274811	0.12686174	0.06979077	0.029969212	0.002591454	0
t2715	0	0	0	0	0	0.000176458	0.007524627	0.040574297	0.090084456	0.17214005	0.26604837
t2716	0.35034034	0.43938234	0.48996034	0.5067869	0.500287	0.4413015	0.3870105	0.3011073	0.21695529	0.12482967	0.047776766
t2717	0.00517018	0	0	0	0	0	0	0.000322378	0.011838513	0.060497507	0.12256625
t2718	0.15769686	0.21319868	0.23377469	0.24860273	0.23860157	0.22374946	0.22500253	0.17414509	0.14815867	0.10098753	0.06656432
t2719	0.04049052	0.014525701	0.00171241	0	0	0	0	0	0	0.000111678	0.00507936
t2720	0.028488	0.07062356	0.120117195	0.19650088	0.26705518	0.34895548	0.37968633	0.4282032	0.4358663	0.4011659	0.34830186
t2721	0.27980667	0.1887924	0.115335755	0.04316669	0.005106994	0	0	0	0	0	0
t2722	0.00024268	0.013454631	0.06506418	0.15302254	0.23739675	0.3223531	0.39385572	0.46603268	0.5158267	0.5453529	0.5525346
t2723	0.47273263	0.4188811	0.32922906	0.22351156	0.11610464	0.0454756	0.004599343	0	0	0	0
t2724	0	0	0.000350639	0.010413327	0.04337871	0.094632536	0.14560916	0.19576699	0.27460876	0.30489874	0.34908915
t2725	0.38094363	0.3734479	0.36045134	0.29879823	0.2377115	0.1645468	0.09886565	0.0360652	0.003974749	0	0
t2726	0	0	0	0	0.000165993	0.013240452	0.07235813	0.15804158	0.26380768	0.3574741	0.42922312
t2727	0.46115115	0.47563973	0.46070564	0.4188888	0.37322935	0.30620065	0.2327833	0.15657455	0.08753743	0.034491777	0.003944671
t2728	0	0	0	0	0	0	0.000250335	0.008970418	0.044084825	0.10146804	0.17934145
t2729	0.26925555	0.3299483	0.36871418	0.40022805	0.38277578	0.39054132	0.38599122	0.3222701	0.25476038	0.17565846	0.09776731
t2730	0.036607776	0.003845751	0	0	0	0	0	0	0.000369663	0.009123812	0.03958954
t2731	0.083949536	0.13938679	0.20251969	0.2564206	0.31245646	0.3290661	0.39318553	0.37501842	0.35723546	0.30207652	0.2468655
t2732	0.18553172	0.11306386	0.047441237	0.005965244	0	0	0	0	0	0	0.000318338
t2733	0.01601055	0.07956019	0.1770245	0.27762246	0.39731094	0.4953079	0.5502814	0.58359635	0.5813816	0.5497412	0.48659438
t2734	0.40730572	0.31357455	0.22813411	0.121699035	0.045453653	0.004787997	0	0	0	0	0
t2735	0	0.000302642	0.008390333	0.036656216	0.07619201	0.15473352	0.20388903	0.27022862	0.31693873	0.39163908	0.41050982
t2736	0.38848278	0.3637576	0.34804446	0.27860647	0.19886488	0.117811285	0.04556663	0.005229784	0	0	0
t2737	0	0	0	0.000236626	0.011779961	0.051165167	0.11192829	0.17169769	0.2514613	0.30660582	0.34535837
