	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
t6311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6317	0	0.00002	0	0	0	0	0	0	0.00058	0	0	0	0	0.001	0	0	0
t6318	0.00031	0.00974	0	0.00009	0.00083	0	0	0	0.00331	0.00171	0	0.01	0.059	0.082	0.018	0.054	0.052
t6319	0.02456	0.04388	0.00424	0.01532	0.02057	0.00014	0.00586	0.00723	0.02184	0.0228	0.00034	0.134	0.224	0.242	0.112	0.175	0.209
t6320	0.08212	0.0773	0.04451	0.06418	0.09004	0.0267	0.06983	0.05931	0.06494	0.05225	0.02389	0.311	0.394	0.406	0.23	0.306	0.376
t6321	0.13442	0.10813	0.11282	0.12593	0.17711	0.11178	0.17937	0.1274	0.11506	0.10111	0.08129	0.495	0.523	0.536	0.335	0.435	0.513
t6322	0.17451	0.13146	0.16904	0.1967	0.22215	0.22274	0.29107	0.20829	0.17201	0.13474	0.16267	0.603	0.607	0.621	0.404	0.516	0.608
t6323	0.20631	0.1812	0.22812	0.24219	0.2362	0.32048	0.39214	0.24143	0.21666	0.174	0.23267	0.662	0.645	0.66	0.443	0.552	0.657
t6324	0.18909	0.22219	0.2876	0.30548	0.2431	0.39696	0.4427	0.22319	0.23953	0.1959	0.29367	0.676	0.64	0.655	0.447	0.538	0.663
t6325	0.19154	0.27102	0.23738	0.32134	0.22471	0.41386	0.44109	0.15845	0.23839	0.20372	0.33392	0.649	0.588	0.602	0.416	0.48	0.626
t6326	0.19403	0.25496	0.18559	0.29255	0.16356	0.4151	0.39	0.11737	0.2149	0.18683	0.3482	0.573	0.494	0.508	0.349	0.386	0.545
t6327	0.14891	0.21828	0.15869	0.27418	0.11739	0.39477	0.35952	0.13084	0.16958	0.14243	0.33006	0.454	0.363	0.372	0.251	0.249	0.42
t6328	0.10587	0.14437	0.14491	0.20603	0.08252	0.32601	0.27177	0.10345	0.11396	0.097	0.28979	0.295	0.199	0.2	0.142	0.11	0.256
t6329	0.05459	0.05758	0.08623	0.12136	0.05016	0.24342	0.18238	0.06499	0.06723	0.05116	0.21409	0.117	0.054	0.027	0.044	0.016	0.082
t6330	0.01474	0.00305	0.0476	0.04363	0.02241	0.14206	0.08765	0.03151	0.0218	0.01188	0.13523	0.004	0	0	0	0	0
t6331	0.0002	0	0.00713	0.00167	0.00092	0.05074	0.01526	0.00402	0.00217	0.00009	0.04432	0	0	0	0	0	0
t6332	0	0	0	0	0	0.002	0.00015	0	0.00509	0	0.00093	0	0	0	0	0	0
t6333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6341	0	0.00002	0	0	0	0	0	0	0.00038	0	0	0	0	0.001	0	0.001	0
t6342	0.00022	0.01971	0	0.00006	0.00054	0	0	0	0.0032	0.00117	0	0.006	0.049	0.082	0.018	0.07	0.049
t6343	0.01859	0.09321	0.00505	0.01534	0.01349	0.00008	0.00402	0.00588	0.01927	0.02006	0.00029	0.115	0.197	0.245	0.13	0.206	0.207
t6344	0.06712	0.16064	0.05412	0.07013	0.06509	0.016	0.05753	0.06472	0.05666	0.05441	0.03396	0.286	0.369	0.406	0.286	0.364	0.372
t6345	0.15106	0.21948	0.12364	0.14216	0.12215	0.07673	0.155	0.14044	0.09967	0.10311	0.13377	0.456	0.51	0.53	0.422	0.507	0.511
t6346	0.22994	0.26748	0.22405	0.21812	0.20269	0.16207	0.2599	0.26531	0.13602	0.1458	0.24345	0.573	0.597	0.613	0.521	0.583	0.607
t6347	0.27711	0.30606	0.2515	0.27652	0.26798	0.24223	0.38304	0.31345	0.17309	0.1947	0.33872	0.636	0.638	0.651	0.569	0.612	0.658
t6348	0.27664	0.32487	0.23224	0.30633	0.33234	0.3058	0.44394	0.31467	0.18565	0.22465	0.39278	0.656	0.634	0.644	0.575	0.596	0.665
t6349	0.26626	0.30474	0.21291	0.30578	0.32157	0.33078	0.47239	0.28415	0.18352	0.21756	0.4274	0.629	0.586	0.595	0.537	0.54	0.628
t6350	0.27731	0.2724	0.19447	0.2795	0.30592	0.34567	0.45435	0.27563	0.17569	0.18632	0.40235	0.559	0.496	0.501	0.456	0.441	0.547
t6351	0.21319	0.19218	0.1789	0.25145	0.24078	0.31777	0.4013	0.18431	0.15024	0.14309	0.34091	0.441	0.366	0.364	0.342	0.305	0.421
t6352	0.16109	0.12201	0.13121	0.17997	0.16175	0.27438	0.31442	0.12822	0.10887	0.09945	0.26535	0.29	0.205	0.192	0.204	0.152	0.255
t6353	0.07795	0.04002	0.08179	0.1114	0.07915	0.21814	0.21273	0.07587	0.06125	0.05547	0.19593	0.113	0.051	0.024	0.067	0.021	0.08
t6354	0.02209	0.00175	0.0415	0.03737	0.02628	0.12983	0.10202	0.0338	0.02031	0.01195	0.10864	0.003	0	0	0.001	0	0
t6355	0.00027	0	0.00739	0.0014	0.00077	0.04599	0.01736	0.00523	0.00209	0.00004	0.03593	0	0	0	0	0	0
t6356	0	0	0	0	0	0.00126	0.0002	0	0.00464	0	0.00063	0	0	0	0	0	0
t6357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6365	0	0.00001	0	0	0	0	0	0	0.0002	0	0	0	0	0.001	0	0.002	0
t6366	0.00015	0.00742	0	0.00006	0.0001	0	0	0	0.00272	0.00185	0	0.006	0.042	0.078	0.022	0.087	0.04
t6367	0.01519	0.03308	0.00487	0.01864	0.01145	0.00007	0.00573	0.00672	0.01943	0.03071	0.00021	0.11	0.186	0.24	0.148	0.242	0.18
t6368	0.06012	0.10055	0.05143	0.08769	0.06742	0.01612	0.0547	0.06221	0.063	0.09232	0.02288	0.275	0.376	0.402	0.303	0.397	0.356
t6369	0.106	0.15641	0.13936	0.17859	0.15194	0.08469	0.13094	0.15368	0.11343	0.15288	0.08915	0.426	0.519	0.528	0.431	0.512	0.494
t6370	0.1724	0.19034	0.23573	0.25212	0.26356	0.19311	0.21817	0.2319	0.15531	0.20669	0.17532	0.522	0.605	0.612	0.521	0.583	0.59
t6371	0.23988	0.17851	0.26212	0.32573	0.35513	0.28745	0.29609	0.29539	0.18656	0.24422	0.26592	0.576	0.641	0.651	0.569	0.61	0.641
t6372	0.27402	0.16806	0.21981	0.35155	0.4331	0.35562	0.35822	0.34992	0.19742	0.25645	0.34261	0.58	0.632	0.645	0.575	0.596	0.646
t6373	0.26979	0.14795	0.15371	0.34677	0.45466	0.41526	0.36777	0.36393	0.20748	0.25701	0.37571	0.537	0.578	0.593	0.538	0.538	0.604
t6374	0.22978	0.1082	0.14541	0.29549	0.41732	0.44077	0.3439	0.32735	0.18171	0.23913	0.36854	0.454	0.482	0.498	0.462	0.438	0.518
t6375	0.19749	0.07263	0.12489	0.2308	0.34453	0.40145	0.31268	0.2879	0.15673	0.1844	0.32447	0.335	0.349	0.361	0.346	0.303	0.388
t6376	0.1311	0.03021	0.06573	0.16292	0.24658	0.3453	0.23119	0.19478	0.11251	0.13373	0.26864	0.202	0.188	0.187	0.196	0.151	0.218
t6377	0.0764	0.00983	0.03957	0.09694	0.13904	0.25666	0.14185	0.09982	0.06635	0.06599	0.1971	0.079	0.038	0.02	0.055	0.017	0.053
t6378	0.01663	0.0003	0.02465	0.03311	0.0474	0.15395	0.06193	0.03372	0.02106	0.01225	0.11175	0.002	0	0	0	0	0
t6379	0.00012	0	0.00285	0.00097	0.00098	0.0542	0.01066	0.00368	0.0018	0.00004	0.03399	0	0	0	0	0	0
t6380	0	0	0	0	0	0.00142	0.00014	0	0.00149	0	0.00043	0	0	0	0	0	0
t6381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6389	0	0	0	0	0	0	0	0	0.00006	0	0	0	0	0	0	0	0
t6390	0.00014	0.0029	0	0.00003	0.00018	0	0	0	0.00151	0.0015	0	0.003	0.033	0.07	0.015	0.061	0.031
t6391	0.00841	0.01984	0.00499	0.01418	0.01546	0.00006	0.00247	0.00583	0.01473	0.03507	0.00015	0.076	0.153	0.226	0.101	0.22	0.168
t6392	0.02202	0.04595	0.04462	0.06702	0.07509	0.02726	0.04107	0.05865	0.05456	0.10503	0.02113	0.207	0.348	0.386	0.221	0.378	0.332
t6393	0.03515	0.08077	0.09896	0.13091	0.12923	0.13109	0.11543	0.1257	0.10338	0.17592	0.09279	0.352	0.493	0.509	0.329	0.493	0.471
t6394	0.05541	0.12521	0.1715	0.18421	0.14793	0.27729	0.18534	0.19369	0.14458	0.23343	0.17517	0.433	0.578	0.588	0.391	0.565	0.565
t6395	0.07432	0.13442	0.18548	0.23472	0.16616	0.41216	0.23015	0.21524	0.17472	0.25171	0.26256	0.428	0.621	0.623	0.403	0.592	0.606
t6396	0.07945	0.1442	0.28764	0.25344	0.16446	0.51136	0.31472	0.27956	0.19115	0.25912	0.31281	0.371	0.615	0.619	0.37	0.578	0.612
t6397	0.08171	0.13997	0.35375	0.25175	0.14981	0.54911	0.37586	0.34404	0.18656	0.24597	0.34715	0.282	0.563	0.57	0.31	0.52	0.561
t6398	0.07171	0.11138	0.364	0.22304	0.12884	0.55024	0.38478	0.34135	0.16305	0.22446	0.32533	0.195	0.467	0.477	0.238	0.42	0.466
t6399	0.05728	0.09231	0.30225	0.18644	0.13558	0.47868	0.35873	0.3031	0.14441	0.18506	0.2788	0.114	0.33	0.338	0.157	0.286	0.323
t6400	0.03982	0.05412	0.22694	0.14005	0.12501	0.41271	0.28793	0.22456	0.10251	0.12964	0.21808	0.055	0.167	0.16	0.075	0.136	0.161
t6401	0.02476	0.01933	0.1487	0.07555	0.07446	0.29913	0.19017	0.1452	0.05845	0.06423	0.17055	0.015	0.029	0.013	0.017	0.011	0.027
t6402	0.00641	0.00074	0.06141	0.02448	0.02895	0.1829	0.09299	0.05813	0.01764	0.01124	0.08909	0	0	0	0	0	0
t6403	0.00011	0	0.00701	0.0008	0.00065	0.05937	0.01353	0.00531	0.00211	0.00002	0.02752	0	0	0	0	0	0
t6404	0	0	0	0	0	0.00099	0.00008	0	0.00162	0	0.00023	0	0	0	0	0	0
t6405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6413	0	0	0	0	0	0	0	0	0.00003	0	0	0	0	0	0	0	0
t6414	0.00011	0.00734	0	0.00001	0.00003	0	0	0	0.002	0.00095	0	0	0.012	0.042	0.006	0.051	0.007
t6415	0.0159	0.05227	0.00242	0.00905	0.00826	0.00012	0.00346	0.00474	0.01339	0.02753	0.00008	0.014	0.065	0.152	0.084	0.194	0.061
t6416	0.05287	0.11756	0.04428	0.04557	0.04348	0.03762	0.03012	0.05708	0.04113	0.08873	0.01878	0.049	0.129	0.282	0.204	0.334	0.134
