	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
Sc2.t5868	0.517	0.335	0.624	0.459	0.136	0.614	0.410	0.275	0.253	0.264	0.435	0.186	0.322	0.540	0.376	0.400	0.354
Sc2.t5869	0.522	0.302	0.629	0.463	0.137	0.671	0.446	0.314	0.256	0.285	0.479	0.163	0.267	0.480	0.361	0.355	0.294
Sc2.t5870	0.439	0.266	0.601	0.403	0.144	0.702	0.459	0.306	0.244	0.269	0.452	0.152	0.217	0.381	0.323	0.284	0.233
Sc2.t5871	0.356	0.232	0.541	0.366	0.166	0.651	0.410	0.265	0.213	0.239	0.358	0.118	0.149	0.262	0.258	0.197	0.156
Sc2.t5872	0.251	0.169	0.447	0.281	0.123	0.581	0.361	0.231	0.166	0.181	0.290	0.088	0.080	0.143	0.169	0.105	0.078
Sc2.t5873	0.150	0.094	0.328	0.195	0.091	0.461	0.274	0.172	0.121	0.128	0.233	0.045	0.024	0.040	0.069	0.029	0.021
Sc2.t5874	0.060	0.032	0.190	0.103	0.058	0.310	0.171	0.101	0.074	0.070	0.166	0.008	0.000	0.000	0.004	0.000	0.000
Sc2.t5875	0.008	0.001	0.068	0.026	0.024	0.147	0.065	0.036	0.029	0.017	0.094	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5876	0.000	0.000	0.003	0.000	0.000	0.024	0.005	0.001	0.005	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5877	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5878	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5879	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5880	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5881	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5882	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5883	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5884	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5885	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.002	0.000	0.000	0.000	0.007	0.001	0.010	0.000
Sc2.t5886	0.006	0.041	0.000	0.004	0.005	0.000	0.000	0.000	0.021	0.026	0.000	0.016	0.012	0.065	0.057	0.061	0.041
Sc2.t5887	0.060	0.110	0.035	0.063	0.066	0.003	0.018	0.023	0.057	0.093	0.008	0.098	0.041	0.138	0.200	0.127	0.128
Sc2.t5888	0.172	0.148	0.155	0.150	0.160	0.076	0.083	0.055	0.108	0.172	0.064	0.246	0.094	0.195	0.358	0.197	0.213
Sc2.t5889	0.287	0.198	0.299	0.254	0.277	0.232	0.181	0.102	0.163	0.255	0.154	0.386	0.167	0.228	0.485	0.246	0.278
Sc2.t5890	0.397	0.277	0.445	0.359	0.397	0.385	0.285	0.132	0.208	0.317	0.242	0.474	0.226	0.240	0.569	0.276	0.281
Sc2.t5891	0.488	0.301	0.562	0.461	0.483	0.521	0.371	0.170	0.242	0.365	0.330	0.490	0.232	0.234	0.610	0.299	0.280
Sc2.t5892	0.479	0.289	0.624	0.518	0.512	0.619	0.436	0.175	0.258	0.373	0.384	0.477	0.206	0.204	0.603	0.293	0.278
Sc2.t5893	0.466	0.376	0.642	0.511	0.491	0.669	0.479	0.202	0.260	0.368	0.394	0.436	0.162	0.171	0.561	0.259	0.282
Sc2.t5894	0.447	0.322	0.584	0.477	0.442	0.669	0.459	0.232	0.237	0.332	0.419	0.357	0.116	0.145	0.483	0.203	0.273
Sc2.t5895	0.352	0.272	0.506	0.416	0.398	0.628	0.433	0.175	0.216	0.286	0.397	0.272	0.074	0.110	0.363	0.132	0.234
Sc2.t5896	0.240	0.188	0.422	0.321	0.324	0.533	0.357	0.158	0.168	0.218	0.338	0.182	0.041	0.065	0.228	0.066	0.164
Sc2.t5897	0.142	0.107	0.299	0.227	0.211	0.415	0.257	0.120	0.119	0.149	0.280	0.087	0.013	0.017	0.088	0.018	0.063
Sc2.t5898	0.061	0.033	0.165	0.111	0.105	0.276	0.164	0.091	0.067	0.075	0.196	0.012	0.000	0.000	0.005	0.000	0.002
Sc2.t5899	0.008	0.001	0.059	0.027	0.031	0.134	0.063	0.037	0.026	0.016	0.101	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5900	0.000	0.000	0.002	0.000	0.000	0.020	0.004	0.001	0.004	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5901	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5902	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5903	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5904	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5905	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5906	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5907	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5908	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5909	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.011	0.002	0.000	0.000	0.000	0.006	0.000	0.007	0.000
Sc2.t5910	0.007	0.061	0.000	0.003	0.003	0.000	0.000	0.000	0.023	0.025	0.000	0.009	0.011	0.060	0.044	0.053	0.030
Sc2.t5911	0.069	0.159	0.024	0.071	0.044	0.003	0.020	0.029	0.065	0.086	0.007	0.058	0.039	0.138	0.162	0.122	0.096
Sc2.t5912	0.145	0.271	0.087	0.188	0.087	0.076	0.108	0.117	0.115	0.154	0.056	0.148	0.075	0.222	0.292	0.201	0.179
Sc2.t5913	0.271	0.366	0.161	0.319	0.152	0.230	0.237	0.229	0.170	0.233	0.142	0.235	0.118	0.299	0.411	0.268	0.264
Sc2.t5914	0.356	0.416	0.249	0.453	0.184	0.390	0.350	0.350	0.223	0.309	0.232	0.312	0.151	0.344	0.496	0.309	0.344
Sc2.t5915	0.424	0.410	0.341	0.548	0.179	0.532	0.429	0.447	0.252	0.366	0.313	0.372	0.182	0.365	0.541	0.326	0.383
Sc2.t5916	0.497	0.398	0.391	0.563	0.192	0.640	0.481	0.503	0.265	0.379	0.361	0.408	0.199	0.341	0.548	0.310	0.369
Sc2.t5917	0.453	0.338	0.397	0.499	0.209	0.697	0.509	0.523	0.256	0.363	0.382	0.433	0.197	0.292	0.518	0.263	0.321
Sc2.t5918	0.424	0.298	0.379	0.488	0.227	0.708	0.524	0.531	0.244	0.316	0.365	0.396	0.164	0.225	0.447	0.201	0.247
Sc2.t5919	0.340	0.260	0.347	0.427	0.214	0.644	0.485	0.486	0.204	0.255	0.335	0.321	0.116	0.143	0.349	0.124	0.174
Sc2.t5920	0.252	0.187	0.304	0.318	0.138	0.552	0.408	0.401	0.157	0.198	0.298	0.216	0.062	0.063	0.221	0.064	0.099
