	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
t6663	0.32448	0.16556	0.42241	0.38527	0.20599	0.57518	0.29798	0.38862	0.12784	0.14651	0.36259	0.461	0.308	0.058	0.21	0.152	0.049
t6664	0.21548	0.08162	0.31705	0.26958	0.13875	0.47349	0.21819	0.28376	0.07689	0.08796	0.29632	0.288	0.141	0.013	0.113	0.049	0.02
t6665	0.09956	0.01441	0.18647	0.1362	0.07034	0.33788	0.13338	0.15891	0.0297	0.02937	0.20011	0.099	0.008	0	0.025	0	0.002
t6666	0.00987	0	0.05774	0.02381	0.01027	0.18003	0.05121	0.04441	0.00523	0.00144	0.09267	0	0	0	0	0	0
t6667	0	0	0.00044	0.00002	0	0.03804	0.00331	0.00014	0.00215	0	0.01083	0	0	0	0	0	0
t6668	0	0	0	0	0	0.00008	0	0	0	0	0	0	0	0	0	0	0
t6669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6678	0	0.00281	0	0	0	0	0	0	0.00063	0	0	0	0.003	0.022	0.003	0.005	0.006
t6679	0.02485	0.04501	0.00068	0.00977	0.0041	0.00029	0.00129	0.00075	0.00534	0.01134	0	0.105	0.042	0.137	0.094	0.041	0.107
t6680	0.12468	0.11549	0.06381	0.10488	0.05591	0.02454	0.04404	0.05248	0.04245	0.06608	0.01061	0.297	0.108	0.289	0.244	0.091	0.263
t6681	0.24069	0.20224	0.19879	0.24111	0.13697	0.15764	0.14621	0.14918	0.10268	0.1313	0.08983	0.456	0.172	0.392	0.374	0.14	0.39
t6682	0.35232	0.27737	0.33513	0.36563	0.21747	0.3274	0.25528	0.2328	0.1556	0.19496	0.19798	0.569	0.233	0.47	0.467	0.176	0.495
t6683	0.42813	0.30953	0.4352	0.45143	0.28931	0.47437	0.36341	0.31963	0.19999	0.23998	0.29866	0.634	0.311	0.532	0.525	0.197	0.572
t6684	0.46968	0.32072	0.50341	0.5033	0.31264	0.57566	0.43371	0.37537	0.21836	0.2578	0.37665	0.653	0.361	0.541	0.529	0.199	0.575
t6685	0.45935	0.27581	0.52511	0.50782	0.33049	0.62574	0.46478	0.40495	0.21481	0.23784	0.41652	0.627	0.362	0.482	0.484	0.175	0.505
t6686	0.41065	0.22802	0.49848	0.46532	0.29509	0.62867	0.45739	0.41359	0.19082	0.19403	0.4201	0.553	0.32	0.345	0.392	0.12	0.375
t6687	0.32013	0.15459	0.42584	0.37847	0.24939	0.57551	0.39216	0.36658	0.14842	0.14859	0.37894	0.432	0.228	0.18	0.278	0.062	0.216
t6688	0.21292	0.07323	0.31488	0.26238	0.17902	0.47341	0.29705	0.2718	0.08952	0.08928	0.30161	0.265	0.104	0.05	0.151	0.017	0.095
t6689	0.092	0.01104	0.18318	0.12841	0.09122	0.3308	0.18061	0.15358	0.03717	0.02988	0.20184	0.085	0.006	0	0.032	0	0.008
t6690	0.00883	0	0.05423	0.0209	0.01323	0.17	0.0652	0.04173	0.00762	0.00112	0.08957	0	0	0	0	0	0
t6691	0	0	0.00025	0	0	0.03431	0.00346	0.00007	0.00246	0	0.00889	0	0	0	0	0	0
t6692	0	0	0	0	0	0.00006	0	0	0	0	0	0	0	0	0	0	0
