	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
t1497	0.03026	0.08866	0.0527	0.08797	0.05066	0.16807	0.09974	0.15028	0.23534	0.11557	0.12204	0.00397	0.72769	0.33444	0.56589	0.79587	0.00058
t1498	0.02925	0.08368	0.04932	0.08735	0.03392	0.14952	0.0572	0.13339	0.23661	0.108	0.10398	0.003	0.81309	0.42759	0.52798	0.84493	0.00458
t1499	0.0381	0.06693	0.05811	0.07663	0.03057	0.10816	0.04954	0.0925	0.2425	0.0977	0.11763	0.00672	0.84102	0.44708	0.48583	0.87306	0.01438
t1500	0.0308	0.08303	0.05745	0.08626	0.03315	0.09833	0.04992	0.09239	0.24905	0.0903	0.13847	0.00826	0.85057	0.44073	0.44527	0.8873	0.0306
t1501	0.02575	0.09002	0.074	0.09139	0.03532	0.10801	0.05149	0.08904	0.25552	0.08994	0.16284	0.00864	0.85328	0.46086	0.41058	0.89321	0.04967
t1502	0.02316	0.09167	0.09923	0.11163	0.03763	0.09826	0.05471	0.08667	0.27207	0.09261	0.16503	0.00981	0.8391	0.5141	0.38187	0.89284	0.05919
t1503	0.0217	0.09995	0.10945	0.12188	0.0401	0.11205	0.05967	0.0849	0.29599	0.09147	0.1653	0.0111	0.8018	0.56765	0.35698	0.89335	0.05757
t1504	0.02416	0.09903	0.11094	0.12462	0.04325	0.13506	0.06835	0.06889	0.30115	0.0911	0.16208	0.012	0.76167	0.5258	0.33117	0.90787	0.04005
t1505	0.03547	0.1236	0.1087	0.12404	0.05191	0.16896	0.07967	0.06706	0.31259	0.09824	0.14018	0.01732	0.72841	0.50929	0.3003	0.91852	0.03535
t1506	0.05143	0.15694	0.09988	0.13022	0.07165	0.19549	0.1048	0.07569	0.31334	0.11011	0.12824	0.02579	0.70799	0.55227	0.29387	0.91594	0.02635
t1507	0.05356	0.18067	0.10891	0.14547	0.08672	0.21323	0.15196	0.09873	0.27743	0.11176	0.12066	0.03496	0.67189	0.59579	0.27833	0.90494	0.02063
t1508	0.03513	0.1899	0.11661	0.15713	0.08653	0.22692	0.17937	0.1231	0.23146	0.10683	0.12323	0.04338	0.61619	0.61165	0.25564	0.87731	0.01725
t1509	0.02348	0.20983	0.10951	0.16974	0.07808	0.23291	0.18715	0.13631	0.20585	0.10178	0.12391	0.04915	0.55634	0.58665	0.23388	0.84007	0.01401
t1510	0.01918	0.22182	0.09924	0.17194	0.0716	0.23295	0.18514	0.14034	0.19594	0.09482	0.11687	0.05165	0.51948	0.51533	0.21368	0.79786	0.01397
t1511	0.01662	0.22852	0.11379	0.18316	0.04376	0.24987	0.14709	0.13022	0.23292	0.09078	0.08855	0.05052	0.48882	0.53088	0.18637	0.75393	0.01324
t1512	0.01936	0.23029	0.11007	0.17555	0.04924	0.21505	0.13948	0.12325	0.19278	0.08664	0.101	0.04727	0.43849	0.52609	0.16679	0.69854	0.01095
t1513	0.02314	0.22891	0.10371	0.16786	0.05956	0.21408	0.14005	0.11863	0.14771	0.08612	0.09952	0.04426	0.386	0.53997	0.15998	0.63543	0.00877
t1514	0.02305	0.20385	0.09822	0.17034	0.05972	0.20876	0.13074	0.11284	0.11591	0.08211	0.09121	0.0387	0.33781	0.51438	0.1629	0.59293	0.00678
t1515	0.01987	0.1898	0.08071	0.16807	0.05718	0.19796	0.12473	0.09857	0.10251	0.07639	0.08103	0.03275	0.32158	0.45379	0.16846	0.56389	0.00555
t1516	0.02248	0.19476	0.06309	0.17368	0.05771	0.18884	0.12573	0.09146	0.10378	0.07182	0.07601	0.0276	0.3124	0.37295	0.17256	0.54984	0.00674
t1517	0.02749	0.1991	0.04863	0.17005	0.06308	0.17982	0.12145	0.07857	0.12056	0.06764	0.07262	0.02174	0.32188	0.33874	0.1709	0.54082	0.01457
t1518	0.02993	0.21537	0.0509	0.16617	0.06807	0.18342	0.12436	0.07223	0.13552	0.0637	0.06844	0.01592	0.34813	0.30474	0.16411	0.55451	0.03271
t1519	0.02817	0.21561	0.04831	0.15694	0.06763	0.18812	0.12818	0.06761	0.1491	0.06375	0.06353	0.01191	0.3649	0.19907	0.13697	0.60167	0.04414
t1520	0.02035	0.19518	0.05144	0.14519	0.06095	0.15785	0.13476	0.06135	0.16214	0.06073	0.05918	0.00611	0.37168	0.18	0.15561	0.65885	0.03572
t1521	0.01987	0.16266	0.0569	0.12872	0.04627	0.10763	0.1203	0.04091	0.18516	0.0512	0.05381	0.00486	0.44389	0.20087	0.14243	0.70866	0.03412
t1522	0.02333	0.15148	0.07169	0.09027	0.04457	0.07578	0.07204	0.03416	0.21539	0.0373	0.04181	0.00246	0.50704	0.19798	0.11739	0.75898	0.01209
t1523	0.02394	0.09698	0.08929	0.07369	0.04335	0.05614	0.05109	0.02606	0.2332	0.02566	0.03241	0.0012	0.53721	0.21899	0.09707	0.79027	0.00543
t1524	0.02555	0.08447	0.11525	0.07052	0.05722	0.04985	0.05017	0.04349	0.30564	0.02348	0.03167	0.00291	0.57079	0.24904	0.08411	0.81658	0.01238
t1525	0.02728	0.07531	0.13187	0.06374	0.05651	0.04743	0.05125	0.06276	0.35057	0.02233	0.03114	0.00789	0.59371	0.27553	0.07794	0.83738	0.03033
t1526	0.02936	0.06253	0.15176	0.0621	0.05855	0.03998	0.0515	0.06237	0.37778	0.02198	0.03024	0.01354	0.59706	0.28719	0.07655	0.84852	0.04434
t1527	0.03115	0.0565	0.16786	0.06266	0.05812	0.05067	0.05093	0.06798	0.42604	0.02492	0.02778	0.01826	0.56673	0.28071	0.07669	0.8464	0.04693
t1528	0.03336	0.04666	0.17531	0.05289	0.05418	0.07255	0.0511	0.08903	0.45875	0.02619	0.02688	0.02445	0.52343	0.19661	0.07564	0.84922	0.03926
t1529	0.03648	0.05151	0.22159	0.04175	0.04806	0.09847	0.05356	0.10511	0.46819	0.02732	0.02409	0.03557	0.5663	0.16616	0.07868	0.86543	0.04146
