	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
t7333	0.28561	0.08962	0.22029	0.21689	0.20772	0.32913	0.42042	0.21408	0.1025	0.10497	0.11746	0.32	0.324	0.412	0.404	0.197	0.315
t7334	0.25441	0.06084	0.18558	0.17608	0.15706	0.32116	0.39794	0.20772	0.08494	0.0816	0.12389	0.295	0.259	0.289	0.33	0.154	0.224
t7335	0.16467	0.03333	0.15339	0.12563	0.09925	0.2692	0.32904	0.16562	0.05493	0.04428	0.10376	0.218	0.146	0.119	0.212	0.079	0.115
t7336	0.07997	0.00533	0.09742	0.06711	0.04565	0.19335	0.2227	0.11048	0.02489	0.01364	0.06922	0.09	0.022	0.006	0.077	0.003	0.019
t7337	0.01225	0	0.03352	0.01362	0.00539	0.12073	0.09794	0.03355	0.00314	0.00061	0.02997	0.001	0	0	0.001	0	0
t7338	0	0	0.00049	0	0	0.03886	0.01005	0.00025	0	0	0.0033	0	0	0	0	0	0
t7339	0	0	0	0	0	0.00138	0	0	0	0	0	0	0	0	0	0	0
t7340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7351	0.00034	0.00291	0	0	0	0	0	0	0	0	0	0.002	0.01	0.051	0.03	0.009	0.02
t7352	0.03166	0.03979	0.00197	0.00973	0.00367	0.00107	0.0101	0.00246	0.00022	0.00327	0.00003	0.081	0.079	0.18	0.137	0.06	0.114
t7353	0.11125	0.09113	0.03324	0.04909	0.04697	0.03912	0.08888	0.05709	0.01273	0.03421	0.00824	0.176	0.191	0.311	0.26	0.14	0.239
t7354	0.18629	0.11966	0.07717	0.09337	0.10676	0.12471	0.203	0.14709	0.04743	0.07836	0.05624	0.231	0.296	0.41	0.36	0.226	0.338
t7355	0.22313	0.11264	0.1231	0.13879	0.14924	0.22621	0.29321	0.22356	0.07742	0.10973	0.11767	0.262	0.385	0.453	0.416	0.297	0.411
t7356	0.23717	0.0889	0.1686	0.15956	0.17631	0.28989	0.35515	0.28183	0.093	0.12092	0.17372	0.268	0.451	0.433	0.429	0.314	0.425
t7357	0.23223	0.07289	0.1904	0.16158	0.1716	0.32828	0.37306	0.31305	0.09001	0.11049	0.19647	0.226	0.424	0.374	0.396	0.272	0.381
t7358	0.19165	0.03659	0.18342	0.14814	0.12397	0.32651	0.33631	0.27825	0.06576	0.08082	0.19244	0.151	0.316	0.266	0.328	0.191	0.297
t7359	0.13285	0.01393	0.1302	0.10074	0.0858	0.29626	0.25993	0.21693	0.03816	0.04342	0.16224	0.078	0.169	0.116	0.212	0.087	0.173
t7360	0.06402	0.00103	0.07623	0.05712	0.04073	0.22503	0.16215	0.12507	0.015	0.01222	0.11203	0.025	0.021	0.008	0.075	0.001	0.025
t7361	0.00949	0	0.02636	0.01184	0.00463	0.14151	0.06492	0.03309	0.00141	0.00039	0.05184	0	0	0	0	0	0
t7362	0	0	0.00031	0	0	0.05058	0.00475	0.00013	0	0	0.00528	0	0	0	0	0	0
t7363	0	0	0	0	0	0.00174	0	0	0	0	0	0	0	0	0	0	0
t7364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
